strategy,symbol,session_date,direction,entry_ts,exit_ts,entry_price,exit_price,stop_price,target_price,qty,risk_dollars,pnl,r_multiple,exit_reason,secondary_fill
Round-Number,ORCL,2022-05-25,short,2022-05-25T14:31:00,2022-05-25T15:02:00,69.75,70.1,70.1,65.0,85,1000.0,-29.749999999999517,-0.029749999999999516,stop,True
Round-Number,ROKU,2022-05-26,long,2022-05-26T09:42:00,2022-05-26T09:44:00,85.17,84.9,84.9,90.0,383,1000.0,-103.40999999999848,-0.10340999999999848,stop,True
Round-Number,AMD,2022-05-26,short,2022-05-26T09:56:00,2022-05-26T09:57:00,94.99,95.1,95.1,90.0,2112,1000.0,-232.3199999999988,-0.2323199999999988,stop,True
Round-Number,DIS,2022-05-26,short,2022-05-26T10:01:00,2022-05-26T10:13:00,104.92,105.1,105.1,100.0,230,1000.0,-41.3999999999983,-0.0413999999999983,stop,False
Round-Number,NKE,2022-05-27,short,2022-05-27T09:57:00,2022-05-27T11:59:00,114.97,115.1,115.1,110.0,32,1000.0,-4.1599999999998545,-0.004159999999999855,stop,False
Round-Number,ROKU,2022-05-31,short,2022-05-31T09:51:00,2022-05-31T09:59:00,94.885,95.1,95.1,90.0,864,1000.0,-185.75999999999067,-0.18575999999999065,stop,False
Round-Number,QCOM,2022-05-31,short,2022-05-31T10:59:00,2022-05-31T11:00:00,139.98,140.1,140.1,135.0,1171,1000.0,-140.52000000000533,-0.14052000000000534,stop,False
Round-Number,DIS,2022-05-31,short,2022-05-31T11:59:00,2022-05-31T12:03:00,109.78,110.1,110.1,105.0,179,1000.0,-57.27999999999878,-0.057279999999998776,stop,False
Round-Number,NKE,2022-05-31,short,2022-05-31T15:34:00,2022-05-31T15:55:00,119.75,119.12,120.1,115.0,296,1000.0,186.47999999999865,0.18647999999999865,session_close,True
Round-Number,QCOM,2022-06-01,long,2022-06-01T10:37:00,2022-06-01T11:21:00,140.2,139.9,139.9,145.0,249,1000.0,-74.69999999999575,-0.07469999999999576,stop,False
Round-Number,DIS,2022-06-01,short,2022-06-01T10:42:00,2022-06-01T14:23:00,109.85,110.1,110.1,105.0,134,1000.0,-33.5,-0.0335,stop,True
Round-Number,AAPL,2022-06-01,short,2022-06-01T10:57:00,2022-06-01T15:55:00,149.92,148.85,150.1,145.0,1243,1000.0,1330.0099999999916,1.3300099999999915,session_close,True
Round-Number,NKE,2022-06-02,long,2022-06-02T09:46:00,2022-06-02T09:56:00,120.15,119.9,119.9,125.0,125,1000.0,-31.25,-0.03125,stop,False
